year,scenario,anom_c
1850,Historical,-0.57282686
1851,Historical,-0.481531
1852,Historical,-0.64390486
1853,Historical,-0.64100313
1854,Historical,-0.6787712
1855,Historical,-0.8249504
1856,Historical,-0.6986305
1857,Historical,-0.60402346
1858,Historical,-0.7333595
1859,Historical,-0.5790779
1860,Historical,-0.4655347
1861,Historical,-0.5919716
1862,Historical,-0.44399437
1863,Historical,-0.4642733
1864,Historical,-0.47770104
1865,Historical,-0.5805605
1866,Historical,-0.49519777
1867,Historical,-0.6412905
1868,Historical,-0.69886446
1869,Historical,-0.6334424
1870,Historical,-0.688018
1871,Historical,-0.6476534
1872,Historical,-0.41290966
1873,Historical,-0.45408297
1874,Historical,-0.6754524
1875,Historical,-0.6049822
1876,Historical,-0.68130416
1877,Historical,-0.5676694
1878,Historical,-0.54524404
1879,Historical,-0.48510408
1880,Historical,-0.4247454
1881,Historical,-0.568145
1882,Historical,-0.8137199
1883,Historical,-0.6300829
1884,Historical,-0.6925931
1885,Historical,-0.84461385
1886,Historical,-0.8095212
1887,Historical,-0.6323183
1888,Historical,-0.58628005
1889,Historical,-0.8480446
1890,Historical,-0.7064913
1891,Historical,-0.49973217
1892,Historical,-0.5844566
1893,Historical,-0.54828054
1894,Historical,-0.5388913
1895,Historical,-0.6000104
1896,Historical,-0.5932355
1897,Historical,-0.5542391
1898,Historical,-0.51697713
1899,Historical,-0.53829366
1900,Historical,-0.51874715
1901,Historical,-0.51387197
1902,Historical,-0.46924767
1903,Historical,-0.5497759
1904,Historical,-0.42948326
1905,Historical,-0.55352706
1906,Historical,-0.5001976
1907,Historical,-0.5428255
1908,Historical,-0.62186605
1909,Historical,-0.6310315
1910,Historical,-0.5018938
1911,Historical,-0.4647921
1912,Historical,-0.7062853
1913,Historical,-0.72868013
1914,Historical,-0.6779065
1915,Historical,-0.7905418
1916,Historical,-0.7022417
1917,Historical,-0.62967855
1918,Historical,-0.5221575
1919,Historical,-0.47767052
1920,Historical,-0.54769564
1921,Historical,-0.49738994
1922,Historical,-0.50476503
1923,Historical,-0.43855715
1924,Historical,-0.42907128
1925,Historical,-0.35435152
1926,Historical,-0.48865685
1927,Historical,-0.4354113
1928,Historical,-0.2713615
1929,Historical,-0.27467266
1930,Historical,-0.30455446
1931,Historical,-0.5992958
1932,Historical,-0.44220653
1933,Historical,-0.2743217
1934,Historical,-0.27411065
1935,Historical,-0.17144442
1936,Historical,-0.29198122
1937,Historical,-0.33024263
1938,Historical,-0.47057262
1939,Historical,-0.43787813
1940,Historical,-0.28489098
1941,Historical,-0.5138135
1942,Historical,-0.33274254
1943,Historical,-0.41012493
1944,Historical,-0.4647387
1945,Historical,-0.41175255
1946,Historical,-0.3035296
1947,Historical,-0.6000765
1948,Historical,-0.75410634
1949,Historical,-0.46045098
1950,Historical,-0.52949446
1951,Historical,-0.42949852
1952,Historical,-0.3312904
1953,Historical,-0.3325416
1954,Historical,-0.5668683
1955,Historical,-0.3144269
1956,Historical,-0.4530479
1957,Historical,-0.59601
1958,Historical,-0.35431084
1959,Historical,-0.2295626
1960,Historical,-0.51602095
1961,Historical,-0.5537407
1962,Historical,-0.4922172
1963,Historical,-0.54111403
1964,Historical,-0.4710431
1965,Historical,-0.53878194
1966,Historical,-0.662724
1967,Historical,-0.6106076
1968,Historical,-0.6667447
1969,Historical,-0.6295438
1970,Historical,-0.4609774
1971,Historical,-0.20250368
1972,Historical,-0.40571007
1973,Historical,-0.5364957
1974,Historical,-0.44436312
1975,Historical,-0.48753533
1976,Historical,-0.37063518
1977,Historical,-0.31963778
1978,Historical,-0.4527885
1979,Historical,-0.28647533
1980,Historical,-0.3522687
1981,Historical,-0.29385296
1982,Historical,-0.31092247
1983,Historical,-0.34147057
1984,Historical,-0.25386223
1985,Historical,-0.29234996
1986,Historical,-0.26298442
1987,Historical,-0.096244015
1988,Historical,-0.09903637
1989,Historical,-0.12921317
1990,Historical,-0.074368
1991,Historical,0.012629986
1992,Historical,-0.37476778
1993,Historical,-0.11023378
1994,Historical,-0.19031191
1995,Historical,-0.28326336
1996,Historical,-0.13606437
1997,Historical,0.0788633
1998,Historical,-4.498164e-05
1999,Historical,-0.030465921
2000,Historical,0.105370365
2001,Historical,0.2527957
2002,Historical,0.3271238
2003,Historical,0.25462928
2004,Historical,0.2637566
2005,Historical,0.26403633
2006,Historical,0.38845143
2007,Historical,0.4900953
2008,Historical,0.2703255
2009,Historical,0.2533323
2010,Historical,0.3180448
2011,Historical,0.43005452
2012,Historical,0.6076973
2013,Historical,0.52492094
2014,Historical,0.36700773
2015,SSP2-4.5,0.74406767
2015,SSP5-8.5,0.7052061
2016,SSP2-4.5,0.50388926
2016,SSP5-8.5,0.5275607
2017,SSP2-4.5,0.43780088
2017,SSP5-8.5,0.4249352
2018,SSP2-4.5,0.45123878
2018,SSP5-8.5,0.6576826
2019,SSP2-4.5,0.59963816
2019,SSP5-8.5,0.9174711
2020,SSP2-4.5,0.78325224
2020,SSP5-8.5,0.75075865
2021,SSP2-4.5,0.8818367
2021,SSP5-8.5,0.86892015
2022,SSP2-4.5,0.5356123
2022,SSP5-8.5,0.9161105
2023,SSP2-4.5,0.7161314
2023,SSP5-8.5,0.88912535
2024,SSP2-4.5,0.87101316
2024,SSP5-8.5,1.085595
2025,SSP2-4.5,0.89469737
2025,SSP5-8.5,0.9388512
2026,SSP2-4.5,1.0019921
2026,SSP5-8.5,0.8723814
2027,SSP2-4.5,1.0704837
2027,SSP5-8.5,0.91148967
2028,SSP2-4.5,1.0997882
2028,SSP5-8.5,1.0073785
2029,SSP2-4.5,0.9465416
2029,SSP5-8.5,1.1357812
2030,SSP2-4.5,1.0442055
2030,SSP5-8.5,1.0226907
2031,SSP2-4.5,1.0870318
2031,SSP5-8.5,1.1300921
2032,SSP2-4.5,1.0306557
2032,SSP5-8.5,1.3561689
2033,SSP2-4.5,1.1151258
2033,SSP5-8.5,1.0761167
2034,SSP2-4.5,1.1830198
2034,SSP5-8.5,1.2913877
2035,SSP2-4.5,1.2653537
2035,SSP5-8.5,1.5210248
2036,SSP2-4.5,1.2979922
2036,SSP5-8.5,1.3469831
2037,SSP2-4.5,1.2786441
2037,SSP5-8.5,1.5002068
2038,SSP2-4.5,1.4069705
2038,SSP5-8.5,1.6879712
2039,SSP2-4.5,1.212777
2039,SSP5-8.5,1.7176827
2040,SSP2-4.5,1.4552747
2040,SSP5-8.5,1.7124642
2041,SSP2-4.5,1.5434781
2041,SSP5-8.5,1.8194385
2042,SSP2-4.5,1.4861814
2042,SSP5-8.5,1.9647352
2043,SSP2-4.5,1.5190158
2043,SSP5-8.5,1.8078418
2044,SSP2-4.5,1.5380054
2044,SSP5-8.5,1.9872037
2045,SSP2-4.5,1.3483971
2045,SSP5-8.5,1.9840451
2046,SSP2-4.5,1.3469018
2046,SSP5-8.5,2.0411563
2047,SSP2-4.5,1.5485746
2047,SSP5-8.5,2.0573306
2048,SSP2-4.5,1.4394565
2048,SSP5-8.5,1.7967486
2049,SSP2-4.5,1.5579562
2049,SSP5-8.5,2.0523994
2050,SSP2-4.5,1.7061673
2050,SSP5-8.5,2.161693
2051,SSP2-4.5,1.7199537
2051,SSP5-8.5,2.2011447
2052,SSP2-4.5,1.8522424
2052,SSP5-8.5,2.2148013
2053,SSP2-4.5,1.8201963
2053,SSP5-8.5,2.3226402
2054,SSP2-4.5,1.8818341
2054,SSP5-8.5,2.4411552
2055,SSP2-4.5,1.7506493
2055,SSP5-8.5,2.6345832
2056,SSP2-4.5,1.8775693
2056,SSP5-8.5,2.5949714
2057,SSP2-4.5,1.9536548
2057,SSP5-8.5,2.5229704
2058,SSP2-4.5,1.9003278
2058,SSP5-8.5,2.8274899
2059,SSP2-4.5,1.8700696
2059,SSP5-8.5,2.9252656
2060,SSP2-4.5,2.0689375
2060,SSP5-8.5,2.9857845
2061,SSP2-4.5,2.0143416
2061,SSP5-8.5,2.931369
2062,SSP2-4.5,2.0733752
2062,SSP5-8.5,3.0191605
2063,SSP2-4.5,1.961719
2063,SSP5-8.5,3.0346916
2064,SSP2-4.5,2.0924537
2064,SSP5-8.5,2.86347
2065,SSP2-4.5,2.0123374
2065,SSP5-8.5,2.9621003
2066,SSP2-4.5,2.024758
2066,SSP5-8.5,3.149453
2067,SSP2-4.5,2.164755
2067,SSP5-8.5,2.996186
2068,SSP2-4.5,2.103295
2068,SSP5-8.5,3.28415
2069,SSP2-4.5,2.099816
2069,SSP5-8.5,3.4880123
2070,SSP2-4.5,2.0190794
2070,SSP5-8.5,3.508009
2071,SSP2-4.5,2.1616397
2071,SSP5-8.5,3.3596222
2072,SSP2-4.5,2.3226657
2072,SSP5-8.5,3.574105
2073,SSP2-4.5,2.366054
2073,SSP5-8.5,3.7224305
2074,SSP2-4.5,2.3639
2074,SSP5-8.5,3.7677696
2075,SSP2-4.5,2.235253
2075,SSP5-8.5,3.8165162
2076,SSP2-4.5,2.37834
2076,SSP5-8.5,3.7926083
2077,SSP2-4.5,2.458591
2077,SSP5-8.5,4.0296483
2078,SSP2-4.5,2.3410373
2078,SSP5-8.5,4.0807223
2079,SSP2-4.5,2.1525862
2079,SSP5-8.5,4.117542
2080,SSP2-4.5,2.3208601
2080,SSP5-8.5,4.196445
2081,SSP2-4.5,2.4015257
2081,SSP5-8.5,4.1948757
2082,SSP2-4.5,2.3893695
2082,SSP5-8.5,4.4018764
2083,SSP2-4.5,2.4205306
2083,SSP5-8.5,4.3830013
2084,SSP2-4.5,2.3914702
2084,SSP5-8.5,4.3355517
2085,SSP2-4.5,2.323505
2085,SSP5-8.5,4.5937123
2086,SSP2-4.5,2.5692096
2086,SSP5-8.5,4.6082845
2087,SSP2-4.5,2.6172264
2087,SSP5-8.5,4.7596874
2088,SSP2-4.5,2.5009215
2088,SSP5-8.5,4.7468114
2089,SSP2-4.5,2.4061186
2089,SSP5-8.5,4.7733593
2090,SSP2-4.5,2.6153853
2090,SSP5-8.5,5.042293
2091,SSP2-4.5,2.680423
2091,SSP5-8.5,5.042593
2092,SSP2-4.5,2.6246855
2092,SSP5-8.5,5.1773205
2093,SSP2-4.5,2.5748553
2093,SSP5-8.5,5.2958837
2094,SSP2-4.5,2.726998
2094,SSP5-8.5,5.339504
2095,SSP2-4.5,2.5185935
2095,SSP5-8.5,5.3777905
2096,SSP2-4.5,2.8146446
2096,SSP5-8.5,5.589491
2097,SSP2-4.5,2.8892727
2097,SSP5-8.5,5.54345
2098,SSP2-4.5,2.647032
2098,SSP5-8.5,5.648733
2099,SSP2-4.5,2.685527
2099,SSP5-8.5,5.6844716
2100,SSP2-4.5,2.8903358
2100,SSP5-8.5,5.6276813
